ndc,rxcui,atc_class,atc_class_name
0904-6467-07,749196,B01AC,Platelet aggregation inhibitors excl. heparin
64980-0324-30,1440936,D07AA,"Corticosteroids, weak (group I)"
51079-0074-20,905199,C02DB,Hydrazinophthalazine derivatives
60687-0145-01,312615,H02AB,Glucocorticoids
0168-0012-31,204602,D06AX,Other antibiotics for topical use
60687-0328-65,749206,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia
45802-0174-53,311498,M02AC,Preparations with salicylic acid derivatives
23155-0003-01,905395,C02DB,Hydrazinophthalazine derivatives
68084-0269-01,979092,P01BA,Aminoquinolines
0185-5050-01,197979,C03BA,"Sulfonamides, plain"
17478-0934-15,966571,C02DB,Hydrazinophthalazine derivatives
42291-0256-11,855633,M02AA,"Antiinflammatory preparations, non-steroids for topical use"
55150-0323-25,1719291,C03CA,"Sulfonamides, plain"
70594-0048-01,239209,A07AA,Antibiotics
36000-0282-25,1719290,C03CA,"Sulfonamides, plain"
25021-0311-10,1719286,C03CA,"Sulfonamides, plain"
60687-0229-01,978006,A07DA,Antipropulsives
70436-0050-06,242462,B01AC,Platelet aggregation inhibitors excl. heparin
61924-0188-08,617666,D06AX,Other antibiotics for topical use
0904-6255-49,824574,R02AD,"Anesthetics, local"
0245-5316-01,628958,B05XA,Electrolyte solutions
54458-0323-44,245500,A11CC,Vitamin D and analogues
60687-0595-01,310273,A02BA,H2-receptor antagonists
0121-4766-05,308891,A02AC,Calcium compounds
0904-6551-61,198052,A04AA,Serotonin (5HT3) antagonists
0165-0022-41,210958,A02AA,Magnesium compounds
0143-9897-01,309114,J01DB,First-generation cephalosporins
63323-0540-36,1361226,B01AB,Heparin group
0338-6346-03,1795607,B05BA,Solutions for parenteral nutrition
63323-0616-03,1663224,C01BD,"Antiarrhythmics, class III"
0338-0017-38,1795609,B05BA,Solutions for parenteral nutrition
24338-0122-13,206075,J01FA,Macrolides
25021-0806-01,1719646,N05AD,Butyrophenone derivatives
51079-0906-20,833528,C01BD,"Antiarrhythmics, class III"
50383-0565-10,866042,A01AB,Antiinfectives and antiseptics for local oral treatment
11017-0250-30,998461,D01AC,Imidazole and triazole derivatives
0641-6014-10,1791232,C08DB,Benzothiazepine derivatives
10019-0075-87,979434,C07AB,"Beta blocking agents, selective"
0944-0493-02,1742403,B05AA,Blood substitutes and plasma protein fractions
0409-9093-32,1735003,N01AH,Opioid anesthetics
0363-0693-38,1052760,A06AD,Osmotically acting laxatives
0904-6084-61,283672,N06AB,Selective serotonin reuptake inhibitors
0409-4755-03,1740467,A04AA,Serotonin (5HT3) antagonists
0378-0018-05,866924,C07AB,"Beta blocking agents, selective"
0409-4688-23,1721315,J02AC,Triazole and tetrazole derivatives
0641-1410-35,104208,C01AA,Digitalis glycosides
0338-0017-10,1795618,B05BA,Solutions for parenteral nutrition
63323-0658-20,484152,C03AA,"Thiazides, plain"
0469-3211-10,861385,J02AX,Other antimycotics for systemic use
0143-9673-10,647121,N03AX,Other antiepileptics
0172-5413-60,197700,J02AC,Triazole and tetrazole derivatives
0574-7045-12,312104,A03CB,Belladonna and derivatives in combination with psycholeptics
0731-0401-06,313773,A12CB,Zinc
42023-0164-25,2103184,H01BA,Vasopressin and analogues
0409-2305-17,1666798,N05CD,Benzodiazepine derivatives
44206-0310-50,1741903,B05AA,Blood substitutes and plasma protein fractions
64764-0544-11,866152,A02BC,Proton pump inhibitors
0143-9875-10,1663224,C01BD,"Antiarrhythmics, class III"
0409-6102-10,1719286,C03CA,"Sulfonamides, plain"
51079-0747-20,831102,C05AE,Muscle relaxants
50474-0595-40,261336,N03AX,Other antiepileptics
13107-0001-30,476809,N06AX,Other antidepressants
68084-0617-01,349332,N06AB,Selective serotonin reuptake inhibitors
51079-0024-20,311671,C03BA,"Sulfonamides, plain"
51079-0450-20,308136,C08CA,Dihydropyridine derivatives
0187-1704-05,207839,B02BA,Vitamin K
37000-0740-92,1992418,A06AC,Bulk-forming laxatives
65649-0201-75,800918,A11GA,"Ascorbic acid (vitamin C), plain"
51079-0527-20,197732,C03CA,"Sulfonamides, plain"
17478-0711-10,1011852,D04AB,Anesthetics for topical use
50458-0580-10,1114202,B01AF,Direct factor Xa inhibitors
0781-5701-92,979492,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
47781-0307-01,311995,J01XE,Nitrofuran derivatives
68084-0319-01,198427,N03AX,Other antiepileptics
0591-3159-01,858747,A05AA,Bile acids and derivatives
0264-7510-10,1795607,B05BA,Solutions for parenteral nutrition
67457-0228-10,1234995,M03AC,Other quaternary ammonium compounds
63323-0130-11,544840,J01AA,Tetracyclines
0781-3209-95,1665046,J01DD,Third-generation cephalosporins
63323-0540-11,1361226,B01AB,Heparin group
0904-2920-61,897683,C08DA,Phenylalkylamine derivatives
63323-0508-30,1722939,J01DH,Carbapenems
0409-3375-04,209217,C01CA,Adrenergic and dopaminergic agents
0115-7033-01,313979,H02AA,Mineralocorticoids
25021-0121-20,1665093,J01DE,Fourth-generation cephalosporins
60505-0752-04,1665021,J01DD,Third-generation cephalosporins
67457-0426-12,1719646,N05AD,Butyrophenone derivatives
51079-0981-20,311354,C09AA,"ACE inhibitors, plain"
51079-0107-20,856834,N06AA,Non-selective monoamine reuptake inhibitors
60505-2519-03,200371,N06AB,Selective serotonin reuptake inhibitors
0121-0530-05,310323,B03AA,"Iron bivalent, oral preparations"
0409-4275-01,1010900,N01BB,Amides
0409-4276-01,1010033,N01BB,Amides
0781-7109-55,577057,N01AH,Opioid anesthetics
50242-0044-13,1804806,B01AD,Enzymes
37000-0024-04,880853,A06AC,Bulk-forming laxatives
0338-0017-01,1795621,B05BA,Solutions for parenteral nutrition
67919-0011-01,404652,J01XX,Other antibacterials
0781-7112-55,245135,N02AB,Phenylpiperidine derivatives
51079-0284-20,197590,N05BA,Benzodiazepine derivatives
